date, time, fract_sec, site_name, cond, nLF_cond, perc_ODO, perc_local_ODO, ODO_conc, sal, sp_cond, TDS, pH, pH_mV, temp, battery, cable_pwr
4/4/2019,14:10:00,0.0,,0.0,0.0,118.6,118.6,10.84,0.00,0.0,0,6.11,45.9,19.752,2.77,1.5
4/4/2019,14:15:00,0.0,,-0.1,-0.1,115.7,115.7,10.92,0.00,-0.1,0,5.46,83.3,18.177,2.79,1.5
4/4/2019,14:20:00,0.0,,0.0,0.0,112.2,112.2,10.51,0.00,0.0,0,4.52,137.0,18.501,2.78,1.5
4/4/2019,14:25:00,0.0,,97.2,124.0,122.5,122.5,12.52,0.06,122.1,79,7.01,-6.1,14.338,2.79,1.5
4/4/2019,14:30:00,0.0,,94.5,123.3,120.8,120.8,12.61,0.06,121.3,79,7.10,-11.0,13.406,2.79,1.5
4/4/2019,14:35:00,0.0,,95.0,123.2,121.5,121.5,12.61,0.06,121.2,79,7.13,-12.5,13.670,2.80,1.5
4/4/2019,14:40:00,0.0,,94.9,123.3,121.5,121.5,12.63,0.06,121.3,79,7.13,-12.5,13.590,2.79,1.4
4/4/2019,14:45:00,0.0,,94.6,123.5,121.8,121.8,12.72,0.06,121.5,79,7.14,-13.4,13.401,2.80,1.4
4/4/2019,14:50:00,0.0,,94.7,123.2,122.2,122.2,12.71,0.06,121.3,79,7.15,-13.7,13.551,2.79,1.4
4/4/2019,14:55:00,0.0,,94.8,122.9,122.3,122.3,12.70,0.06,120.9,79,7.15,-13.9,13.665,2.80,1.4
4/4/2019,15:00:00,0.0,,95.1,122.9,122.9,122.9,12.72,0.06,120.9,79,7.16,-14.1,13.802,2.79,1.4
4/4/2019,15:05:00,0.0,,94.9,123.0,122.5,122.5,12.70,0.06,121.1,79,7.16,-14.2,13.695,2.80,1.4
4/4/2019,15:10:00,0.0,,94.7,123.0,121.8,121.8,12.66,0.06,121.0,79,7.14,-13.2,13.627,2.80,1.4
4/4/2019,15:15:00,0.0,,94.5,122.9,121.9,121.9,12.68,0.06,120.9,79,7.15,-13.6,13.578,2.80,1.4
4/4/2019,15:20:00,0.0,,94.7,122.7,122.3,122.3,12.68,0.06,120.7,78,7.15,-13.6,13.733,2.80,1.4
4/4/2019,15:25:00,0.0,,95.1,122.9,122.8,122.8,12.72,0.06,121.0,79,7.16,-14.2,13.783,2.80,1.4
4/4/2019,15:30:00,0.0,,94.7,123.0,122.7,122.7,12.75,0.06,121.1,79,7.15,-13.8,13.603,2.79,1.4
4/4/2019,15:35:00,0.0,,94.6,122.9,122.4,122.4,12.72,0.06,121.0,79,7.15,-13.6,13.609,2.80,1.4
4/4/2019,15:40:00,0.0,,94.6,123.0,122.8,122.8,12.77,0.06,121.0,79,7.15,-13.7,13.566,2.80,1.4
4/4/2019,15:45:00,0.0,,94.9,122.9,122.7,122.7,12.71,0.06,120.9,79,7.16,-14.1,13.738,2.80,1.4
4/4/2019,15:50:00,0.0,,95.4,122.9,123.4,123.4,12.73,0.06,120.9,79,7.16,-14.5,13.936,2.80,1.4
4/4/2019,15:55:00,0.0,,95.6,123.0,123.5,123.5,12.73,0.06,121.1,79,7.16,-14.6,13.981,2.80,1.4
4/4/2019,16:00:00,0.0,,95.7,123.0,124.0,124.0,12.76,0.06,121.0,79,7.17,-14.7,14.032,2.80,1.4
4/4/2019,16:05:00,0.0,,95.7,123.0,123.9,123.9,12.75,0.06,121.0,79,7.17,-14.7,14.056,2.80,1.4
4/4/2019,16:10:00,0.0,,96.0,123.5,124.0,124.0,12.77,0.06,121.5,79,7.16,-14.5,14.010,2.80,1.4
4/4/2019,16:15:00,0.0,,95.5,123.6,123.4,123.4,12.78,0.06,121.6,79,7.15,-14.0,13.766,2.80,1.4
4/4/2019,16:20:00,0.0,,95.1,123.4,122.7,122.7,12.74,0.06,121.4,79,7.15,-14.0,13.651,2.80,1.4
4/4/2019,16:25:00,0.0,,95.1,123.2,122.9,122.9,12.75,0.06,121.3,79,7.15,-13.7,13.698,2.80,1.4
4/4/2019,16:30:00,0.0,,95.4,122.9,123.6,123.6,12.75,0.06,120.9,79,7.16,-14.1,13.965,2.80,1.4
4/4/2019,16:35:00,0.0,,94.9,123.2,122.6,122.6,12.74,0.06,121.2,79,7.15,-13.5,13.635,2.80,1.4
4/4/2019,16:40:00,0.0,,94.9,122.9,123.0,123.0,12.74,0.06,120.9,79,7.15,-13.6,13.748,2.80,1.4
4/4/2019,16:45:00,0.0,,95.8,122.8,124.1,124.1,12.74,0.06,120.9,79,7.17,-14.6,14.145,2.80,1.4
4/4/2019,16:50:00,0.0,,95.9,123.4,124.3,124.3,12.82,0.06,121.5,79,7.17,-15.0,13.964,2.80,1.4
4/4/2019,16:55:00,0.0,,96.2,123.5,125.0,125.0,12.85,0.06,121.6,79,7.17,-14.9,14.078,2.80,1.4
4/4/2019,17:00:00,0.0,,96.2,123.7,125.1,125.1,12.88,0.06,121.7,79,7.18,-15.2,14.035,2.80,1.4
4/4/2019,17:05:00,0.0,,95.7,123.6,124.1,124.1,12.83,0.06,121.6,79,7.17,-14.9,13.847,2.80,1.4
4/4/2019,17:10:00,0.0,,95.6,122.7,123.7,123.7,12.72,0.06,120.8,78,7.17,-15.0,14.093,2.80,1.4
4/4/2019,17:15:00,0.0,,95.8,122.9,124.4,124.4,12.79,0.06,121.0,79,7.17,-15.2,14.115,2.80,1.4
4/4/2019,17:20:00,0.0,,95.9,122.8,124.7,124.7,12.80,0.06,120.9,79,7.18,-15.2,14.171,2.79,1.4
4/4/2019,17:25:00,0.0,,95.9,123.1,124.4,124.4,12.79,0.06,121.2,79,7.17,-14.9,14.087,2.80,1.4
4/4/2019,17:30:00,0.0,,95.8,122.7,124.3,124.3,12.76,0.06,120.8,79,7.17,-14.9,14.159,2.80,1.4
4/4/2019,17:35:00,0.0,,95.8,122.8,124.3,124.3,12.77,0.06,120.9,79,7.17,-15.0,14.128,2.80,1.4
4/4/2019,17:40:00,0.0,,95.8,123.3,124.3,124.3,12.81,0.06,121.4,79,7.17,-15.1,13.983,2.80,1.4
4/4/2019,17:45:00,0.0,,95.8,123.0,124.7,124.7,12.82,0.06,121.1,79,7.18,-15.5,14.069,2.80,1.4
4/4/2019,17:50:00,0.0,,95.7,123.3,124.4,124.4,12.84,0.06,121.3,79,7.18,-15.4,13.923,2.80,1.4
4/4/2019,17:55:00,0.0,,95.8,123.1,124.5,124.5,12.82,0.06,121.2,79,7.18,-15.4,14.032,2.80,1.4
