date, time, fract_sec, site_name, cond, nLF_cond, perc_ODO, perc_local_ODO, ODO_conc, sal, sp_cond, TDS, pH, pH_mV, temp, battery, cable_pwr
5/16/2019,10:45:00,0.0,,0.1,0.1,99.4,99.4,8.95,0.00,0.1,0,6.94,-5.0,20.501,2.46,1.6
5/16/2019,10:50:00,0.0,,0.1,0.1,101.7,101.7,9.67,0.00,0.1,0,6.39,26.1,17.797,2.45,1.6
5/16/2019,10:55:00,0.0,,101.5,114.1,71.0,71.0,6.50,0.05,113.1,73,6.92,-4.1,19.637,2.47,1.5
5/16/2019,11:00:00,0.0,,101.3,113.9,67.3,67.3,6.16,0.05,112.9,73,6.86,-0.5,19.637,2.46,1.5
5/16/2019,11:05:00,0.0,,101.2,113.8,65.7,65.7,6.01,0.05,112.7,73,6.83,1.1,19.637,2.47,1.5
5/16/2019,11:10:00,0.0,,101.2,113.9,66.1,66.1,6.05,0.05,112.8,73,6.82,1.7,19.634,2.46,1.5
5/16/2019,11:15:00,0.0,,101.3,113.9,63.9,63.9,5.86,0.05,112.9,73,6.83,1.4,19.620,2.47,1.5
5/16/2019,11:20:00,0.0,,101.2,113.8,66.6,66.6,6.10,0.05,112.7,73,6.84,0.8,19.680,2.46,1.5
5/16/2019,11:25:00,0.0,,101.3,113.8,67.8,67.8,6.20,0.05,112.8,73,6.84,0.6,19.683,2.47,1.5
5/16/2019,11:30:00,0.0,,101.4,113.9,67.1,67.1,6.14,0.05,112.8,73,6.84,0.5,19.686,2.46,1.5
5/16/2019,11:35:00,0.0,,101.4,113.9,67.7,67.7,6.19,0.05,112.8,73,6.84,0.4,19.707,2.47,1.5
5/16/2019,11:40:00,0.0,,101.4,113.8,66.7,66.7,6.10,0.05,112.7,73,6.85,0.3,19.714,2.46,1.5
5/16/2019,11:45:00,0.0,,101.4,113.9,66.1,66.1,6.05,0.05,112.9,73,6.83,1.1,19.674,2.47,1.5
5/16/2019,11:50:00,0.0,,101.3,113.8,66.8,66.8,6.11,0.05,112.8,73,6.84,0.8,19.694,2.46,1.5
5/16/2019,11:55:00,0.0,,101.4,113.8,65.5,65.5,5.99,0.05,112.8,73,6.83,1.2,19.698,2.47,1.5
5/16/2019,12:00:00,0.0,,101.5,113.7,65.6,65.6,5.99,0.05,112.7,73,6.82,1.7,19.778,2.46,1.5
5/16/2019,12:05:00,0.0,,101.6,113.9,65.5,65.5,5.98,0.05,112.9,73,6.83,1.3,19.781,2.47,1.5
5/16/2019,12:10:00,0.0,,101.6,113.8,65.7,65.7,5.99,0.05,112.8,73,6.83,1.3,19.834,2.46,1.5
5/16/2019,12:15:00,0.0,,101.6,113.9,65.3,65.3,5.96,0.05,112.9,73,6.82,1.7,19.778,2.47,1.5
5/16/2019,12:20:00,0.0,,101.8,113.8,64.8,64.8,5.90,0.05,112.8,73,6.83,1.3,19.889,2.46,1.5
5/16/2019,12:25:00,0.0,,101.7,113.8,65.8,65.8,6.00,0.05,112.8,73,6.83,1.2,19.852,2.47,1.5
5/16/2019,12:30:00,0.0,,101.7,113.9,65.9,65.9,6.02,0.05,112.9,73,6.84,0.7,19.822,2.46,1.5
5/16/2019,12:35:00,0.0,,101.7,113.8,66.1,66.1,6.02,0.05,112.8,73,6.83,1.3,19.848,2.47,1.5
5/16/2019,12:40:00,0.0,,101.8,113.8,66.4,66.4,6.04,0.05,112.8,73,6.84,0.9,19.897,2.46,1.5
5/16/2019,12:45:00,0.0,,101.8,113.8,66.1,66.1,6.02,0.05,112.7,73,6.83,1.3,19.933,2.47,1.5
5/16/2019,12:50:00,0.0,,101.9,113.8,65.6,65.6,5.97,0.05,112.8,73,6.83,1.1,19.933,2.46,1.5
5/16/2019,12:55:00,0.0,,101.9,113.8,66.9,66.9,6.09,0.05,112.8,73,6.83,1.2,19.954,2.47,1.5
5/16/2019,13:00:00,0.0,,101.9,113.8,66.4,66.4,6.04,0.05,112.8,73,6.83,1.1,19.921,2.46,1.5
5/16/2019,13:05:00,0.0,,101.9,114.0,66.4,66.4,6.05,0.05,113.0,73,6.83,1.5,19.869,2.47,1.5
5/16/2019,13:10:00,0.0,,101.9,113.7,66.1,66.1,6.02,0.05,112.7,73,6.82,1.6,19.957,2.46,1.5
5/16/2019,13:15:00,0.0,,101.7,113.8,65.0,65.0,5.93,0.05,112.8,73,6.82,1.7,19.877,2.47,1.5
5/16/2019,13:20:00,0.0,,101.8,113.8,65.2,65.2,5.94,0.05,112.8,73,6.82,1.6,19.900,2.46,1.5
5/16/2019,13:25:00,0.0,,102.2,113.7,67.4,67.4,6.12,0.05,112.8,73,6.84,0.8,20.095,2.47,1.5
5/16/2019,13:30:00,0.0,,102.1,113.9,67.2,67.2,6.11,0.05,112.9,73,6.84,0.8,19.991,2.46,1.5
5/16/2019,13:35:00,0.0,,102.1,113.9,67.2,67.2,6.10,0.05,112.9,73,6.84,0.8,20.022,2.47,1.5
5/16/2019,13:40:00,0.0,,102.1,113.8,66.6,66.6,6.05,0.05,112.8,73,6.84,0.8,20.041,2.46,1.5
5/16/2019,13:45:00,0.0,,102.3,113.9,67.6,67.6,6.14,0.05,112.9,73,6.84,0.9,20.090,2.47,1.5
5/16/2019,13:50:00,0.0,,102.4,114.0,67.5,67.5,6.13,0.05,113.0,73,6.84,0.9,20.071,2.46,1.5
5/16/2019,13:55:00,0.0,,102.2,113.9,67.5,67.5,6.13,0.05,112.9,73,6.84,0.6,20.056,2.47,1.5
5/16/2019,14:00:00,0.0,,102.2,113.9,67.2,67.2,6.11,0.05,112.9,73,6.84,0.9,20.037,2.46,1.5
5/16/2019,14:05:00,0.0,,102.2,113.9,67.2,67.2,6.11,0.05,112.9,73,6.84,0.9,20.014,2.47,1.5
5/16/2019,14:10:00,0.0,,102.3,113.8,67.1,67.1,6.09,0.05,112.8,73,6.83,1.0,20.118,2.46,1.5
5/16/2019,14:15:00,0.0,,102.3,113.8,67.2,67.2,6.09,0.05,112.8,73,6.84,0.9,20.099,2.47,1.5
5/16/2019,14:20:00,0.0,,102.8,114.2,67.9,67.9,6.16,0.05,113.2,74,6.83,0.9,20.160,2.46,1.5
5/16/2019,14:25:00,0.0,,102.5,113.9,67.8,67.8,6.14,0.05,112.9,73,6.84,0.8,20.166,2.47,1.5
5/16/2019,14:30:00,0.0,,102.6,114.0,68.0,68.0,6.16,0.05,113.0,73,6.83,1.0,20.156,2.46,1.5
5/16/2019,14:35:00,0.0,,103.0,113.8,68.6,68.6,6.18,0.05,112.9,73,6.84,0.5,20.403,2.47,1.5
5/16/2019,14:40:00,0.0,,103.0,114.2,67.9,67.9,6.14,0.05,113.3,74,6.84,0.9,20.259,2.46,1.5
5/16/2019,14:45:00,0.0,,102.6,113.9,67.7,67.7,6.13,0.05,112.9,73,6.84,0.8,20.233,2.47,1.5
5/16/2019,14:50:00,0.0,,102.6,113.9,68.0,68.0,6.16,0.05,112.9,73,6.84,0.8,20.209,2.46,1.5
5/16/2019,14:55:00,0.0,,102.4,113.7,67.5,67.5,6.12,0.05,112.8,73,6.84,0.7,20.190,2.47,1.5
5/16/2019,15:00:00,0.0,,102.4,113.9,67.4,67.4,6.12,0.05,112.9,73,6.84,0.8,20.109,2.46,1.5
5/16/2019,15:05:00,0.0,,102.4,114.0,67.3,67.3,6.11,0.05,113.0,73,6.84,0.9,20.105,2.47,1.5
5/16/2019,15:10:00,0.0,,102.4,113.8,67.4,67.4,6.11,0.05,112.8,73,6.83,1.1,20.160,2.46,1.5
5/16/2019,15:15:00,0.0,,102.5,114.1,67.6,67.6,6.13,0.05,113.1,73,6.84,0.9,20.117,2.47,1.5
5/16/2019,15:20:00,0.0,,102.8,113.8,66.7,66.7,6.02,0.05,112.9,73,6.83,1.4,20.339,2.46,1.5
5/16/2019,15:25:00,0.0,,102.4,114.0,65.6,65.6,5.95,0.05,113.0,73,6.82,1.8,20.099,2.47,1.5
5/16/2019,15:30:00,0.0,,102.4,114.0,66.1,66.1,6.00,0.05,113.0,73,6.82,1.7,20.098,2.46,1.5
5/16/2019,15:35:00,0.0,,102.9,113.9,66.7,66.7,6.02,0.05,113.0,73,6.83,1.4,20.346,2.47,1.5
5/16/2019,15:40:00,0.0,,103.0,114.0,67.3,67.3,6.07,0.05,113.0,73,6.83,1.2,20.369,2.46,1.5
5/16/2019,15:45:00,0.0,,102.8,113.9,67.5,67.5,6.10,0.05,112.9,73,6.83,1.2,20.288,2.47,1.5
5/16/2019,15:50:00,0.0,,103.1,114.0,66.9,66.9,6.04,0.05,113.1,73,6.83,1.0,20.376,2.46,1.5
5/16/2019,15:55:00,0.0,,102.9,114.1,67.5,67.5,6.10,0.05,113.1,74,6.83,1.0,20.291,2.47,1.5
5/16/2019,16:00:00,0.0,,102.9,114.2,67.5,67.5,6.10,0.05,113.2,74,6.83,1.1,20.243,2.46,1.5
5/16/2019,16:05:00,0.0,,103.1,114.0,67.9,67.9,6.12,0.05,113.0,73,6.84,0.9,20.396,2.47,1.5
5/16/2019,16:10:00,0.0,,103.5,113.9,68.8,68.8,6.18,0.05,113.0,73,6.83,1.0,20.586,2.46,1.5
5/16/2019,16:15:00,0.0,,103.8,114.2,68.7,68.7,6.18,0.05,113.3,74,6.84,0.7,20.584,2.47,1.5
5/16/2019,16:20:00,0.0,,103.5,114.2,68.6,68.6,6.18,0.05,113.3,74,6.84,0.9,20.454,2.46,1.5
5/16/2019,16:25:00,0.0,,103.5,114.2,67.7,67.7,6.10,0.05,113.3,74,6.84,0.7,20.473,2.47,1.5
5/16/2019,16:30:00,0.0,,103.4,114.1,68.9,68.9,6.20,0.05,113.2,74,6.84,0.9,20.467,2.46,1.5
5/16/2019,16:35:00,0.0,,103.0,114.1,67.1,67.1,6.07,0.05,113.1,74,6.83,1.3,20.307,2.47,1.5
5/16/2019,16:40:00,0.0,,103.1,114.1,67.0,67.0,6.05,0.05,113.2,74,6.83,1.3,20.357,2.46,1.5
5/16/2019,16:45:00,0.0,,103.2,114.2,67.6,67.6,6.10,0.05,113.2,74,6.83,1.1,20.384,2.47,1.5
5/16/2019,16:50:00,0.0,,103.3,114.3,67.0,67.0,6.05,0.05,113.4,74,6.83,1.0,20.332,2.46,1.5
5/16/2019,16:55:00,0.0,,102.8,113.9,66.4,66.4,6.00,0.05,113.0,73,6.83,1.5,20.260,2.47,1.5
5/16/2019,17:00:00,0.0,,102.7,113.9,66.3,66.3,6.00,0.05,112.9,73,6.82,1.7,20.261,2.46,1.5
5/16/2019,17:05:00,0.0,,102.8,113.9,67.3,67.3,6.08,0.05,113.0,73,6.83,1.4,20.295,2.48,1.5
5/16/2019,17:10:00,0.0,,103.3,114.0,68.8,68.8,6.20,0.05,113.1,74,6.84,0.9,20.449,2.46,1.5
5/16/2019,17:15:00,0.0,,103.3,114.0,68.7,68.7,6.19,0.05,113.1,73,6.84,0.7,20.486,2.47,1.5
5/16/2019,17:20:00,0.0,,103.4,114.2,68.0,68.0,6.13,0.05,113.3,74,6.83,1.2,20.416,2.46,1.5
5/16/2019,17:25:00,0.0,,103.6,114.0,68.6,68.6,6.17,0.05,113.1,74,6.84,0.9,20.563,2.47,1.5
5/16/2019,17:30:00,0.0,,103.1,114.1,66.5,66.5,6.00,0.05,113.1,74,6.83,1.2,20.359,2.46,1.5
5/16/2019,17:35:00,0.0,,103.3,114.1,67.0,67.0,6.04,0.05,113.1,74,6.83,1.2,20.423,2.47,1.5
5/16/2019,17:40:00,0.0,,103.2,114.1,67.3,67.3,6.07,0.05,113.2,74,6.83,1.5,20.373,2.46,1.5
5/16/2019,17:45:00,0.0,,103.4,114.0,67.6,67.6,6.08,0.05,113.1,74,6.83,1.2,20.496,2.47,1.5
5/16/2019,17:50:00,0.0,,103.6,114.0,68.9,68.9,6.19,0.05,113.1,74,6.84,0.9,20.584,2.46,1.5
