date, time, fract_sec, site_name, cond, nLF_cond, perc_ODO, perc_local_ODO, ODO_conc, sal, sp_cond, TDS, pH, pH_mV, temp, battery, cable_pwr
5/10/2019,11:05:00,0.0,,0.1,0.1,98.8,98.8,8.51,0.00,0.1,0,7.10,-14.3,22.806,2.52,1.6
5/10/2019,11:10:00,0.0,,0.1,0.1,99.1,99.1,8.74,0.00,0.1,0,6.71,8.3,21.545,2.51,1.6
5/10/2019,11:15:00,0.0,,110.0,112.6,94.0,94.0,7.92,0.05,112.3,73,7.11,-14.9,23.906,2.52,1.6
5/10/2019,11:20:00,0.0,,108.6,112.3,73.5,73.5,6.25,0.05,112.0,73,6.85,0.3,23.431,2.51,1.6
5/10/2019,11:25:00,0.0,,109.0,112.4,73.7,73.7,6.26,0.05,112.1,73,6.91,-3.4,23.550,2.52,1.6
5/10/2019,11:30:00,0.0,,108.6,111.9,81.5,81.5,6.92,0.05,111.6,73,6.97,-7.0,23.555,2.51,1.6
5/10/2019,11:35:00,0.0,,108.6,112.2,63.8,63.8,5.43,0.05,111.9,73,6.83,1.3,23.437,2.52,1.6
5/10/2019,11:40:00,0.0,,109.1,112.5,70.3,70.3,5.97,0.05,112.2,73,6.87,-1.1,23.559,2.51,1.6
5/10/2019,11:45:00,0.0,,109.4,112.6,80.0,80.0,6.78,0.05,112.3,73,7.04,-10.6,23.625,2.52,1.6
5/10/2019,11:50:00,0.0,,109.4,112.6,87.5,87.5,7.41,0.05,112.3,73,7.05,-11.8,23.636,2.51,1.6
5/10/2019,11:55:00,0.0,,109.5,112.7,104.7,104.7,8.87,0.05,112.4,73,7.16,-17.9,23.638,2.52,1.6
5/10/2019,12:00:00,0.0,,109.4,112.6,94.3,94.3,7.99,0.05,112.3,73,7.07,-12.9,23.656,2.51,1.6
5/10/2019,12:05:00,0.0,,109.3,112.7,106.3,106.3,9.01,0.05,112.4,73,7.16,-17.9,23.580,2.52,1.6
5/10/2019,12:10:00,0.0,,109.3,112.9,83.1,83.1,7.06,0.05,112.5,73,7.06,-12.1,23.487,2.51,1.6
5/10/2019,12:15:00,0.0,,109.0,112.6,77.8,77.8,6.61,0.05,112.3,73,6.90,-2.5,23.490,2.52,1.6
5/10/2019,12:20:00,0.0,,109.0,112.5,75.5,75.5,6.41,0.05,112.2,73,6.91,-3.5,23.510,2.51,1.6
5/10/2019,12:25:00,0.0,,109.2,112.7,80.7,80.7,6.85,0.05,112.4,73,7.01,-9.4,23.538,2.52,1.6
5/10/2019,12:30:00,0.0,,109.2,112.6,81.6,81.6,6.93,0.05,112.3,73,6.97,-6.6,23.538,2.51,1.6
5/10/2019,12:35:00,0.0,,109.4,112.7,81.4,81.4,6.91,0.05,112.4,73,7.08,-13.4,23.567,2.52,1.6
5/10/2019,12:40:00,0.0,,109.3,112.3,96.0,96.0,8.12,0.05,112.1,73,7.19,-19.5,23.714,2.51,1.6
5/10/2019,12:45:00,0.0,,109.5,112.5,98.9,98.9,8.36,0.05,112.2,73,7.53,-39.3,23.750,2.52,1.6
5/10/2019,12:50:00,0.0,,109.6,112.2,97.9,97.9,8.26,0.05,112.0,73,7.55,-40.6,23.885,2.51,1.6
5/10/2019,12:55:00,0.0,,109.4,112.3,102.5,102.5,8.67,0.05,112.1,73,7.61,-44.0,23.751,2.52,1.6
5/10/2019,13:00:00,0.0,,109.6,112.5,120.1,120.1,10.15,0.05,112.2,73,7.58,-42.7,23.763,2.51,1.6
5/10/2019,13:05:00,0.0,,109.6,112.8,98.7,98.7,8.36,0.05,112.5,73,7.12,-15.5,23.649,2.52,1.6
5/10/2019,13:10:00,0.0,,109.4,112.9,75.6,75.6,6.42,0.05,112.5,73,7.00,-8.4,23.539,2.51,1.6
5/10/2019,13:15:00,0.0,,109.9,112.9,74.0,74.0,6.26,0.05,112.6,73,7.24,-22.4,23.719,2.52,1.6
5/10/2019,13:20:00,0.0,,109.9,112.9,95.9,95.9,8.11,0.05,112.6,73,7.06,-11.8,23.736,2.51,1.6
5/10/2019,13:25:00,0.0,,110.2,113.1,100.2,100.2,8.47,0.05,112.8,73,7.18,-19.0,23.792,2.52,1.6
5/10/2019,13:30:00,0.0,,109.6,112.7,80.8,80.8,6.84,0.05,112.4,73,6.95,-5.4,23.692,2.51,1.6
5/10/2019,13:35:00,0.0,,109.6,112.6,96.3,96.3,8.15,0.05,112.3,73,7.08,-13.0,23.720,2.52,1.6
5/10/2019,13:40:00,0.0,,109.8,112.4,100.9,100.9,8.52,0.05,112.2,73,7.21,-20.9,23.875,2.52,1.6
5/10/2019,13:45:00,0.0,,109.8,112.6,102.8,102.8,8.68,0.05,112.3,73,7.23,-21.9,23.840,2.52,1.6
5/10/2019,13:50:00,0.0,,110.0,112.5,119.6,119.6,10.08,0.05,112.3,73,7.69,-48.7,23.918,2.51,1.6
5/10/2019,13:55:00,0.0,,110.9,113.1,128.5,128.5,10.80,0.05,112.9,73,7.76,-53.1,24.058,2.52,1.6
5/10/2019,14:00:00,0.0,,110.7,113.0,121.5,121.5,10.22,0.05,112.8,73,8.07,-71.0,24.017,2.51,1.6
5/10/2019,14:05:00,0.0,,110.4,112.6,136.7,136.7,11.49,0.05,112.4,73,8.36,-88.1,24.064,2.53,1.6
5/10/2019,14:10:00,0.0,,110.9,113.4,142.3,142.3,11.98,0.05,113.1,74,7.98,-65.9,23.966,2.52,1.6
5/10/2019,14:15:00,0.0,,111.6,113.8,101.7,101.7,8.55,0.05,113.6,74,7.28,-25.1,24.075,2.53,1.6
5/10/2019,14:20:00,0.0,,110.8,113.5,116.9,116.9,9.86,0.05,113.3,74,7.49,-37.2,23.868,2.51,1.6
5/10/2019,14:25:00,0.0,,111.1,113.9,108.0,108.0,9.12,0.05,113.6,74,7.24,-22.6,23.839,2.53,1.6
5/10/2019,14:30:00,0.0,,111.8,113.9,99.2,99.2,8.33,0.05,113.7,74,7.35,-28.9,24.143,2.51,1.6
5/10/2019,14:35:00,0.0,,110.9,114.1,75.1,75.1,6.36,0.05,113.8,74,7.00,-8.7,23.639,2.53,1.6
5/10/2019,14:40:00,0.0,,109.9,112.9,92.4,92.4,7.81,0.05,112.6,73,6.96,-6.5,23.759,2.51,1.6
5/10/2019,14:45:00,0.0,,109.8,113.1,79.8,79.8,6.77,0.05,112.8,73,6.84,0.7,23.626,2.53,1.6
5/10/2019,14:50:00,0.0,,110.1,112.6,115.6,115.6,9.74,0.05,112.4,73,7.20,-20.1,23.949,2.52,1.6
5/10/2019,14:55:00,0.0,,109.7,112.7,86.0,86.0,7.27,0.05,112.4,73,6.90,-2.7,23.749,2.53,1.6
5/10/2019,15:00:00,0.0,,111.7,114.0,108.5,108.5,9.12,0.05,113.8,74,7.30,-26.4,24.020,2.52,1.6
5/10/2019,15:05:00,0.0,,111.4,113.9,96.8,96.8,8.15,0.05,113.6,74,7.06,-12.3,23.977,2.53,1.6
5/10/2019,15:10:00,0.0,,111.5,113.9,112.2,112.2,9.44,0.05,113.6,74,7.45,-35.1,24.012,2.52,1.6
5/10/2019,15:15:00,0.0,,112.9,115.0,117.8,117.8,9.89,0.05,114.8,75,7.49,-37.4,24.111,2.53,1.6
5/10/2019,15:20:00,0.0,,112.2,114.1,131.9,131.9,11.06,0.05,114.0,74,8.55,-99.2,24.186,2.52,1.6
5/10/2019,15:25:00,0.0,,112.5,114.5,123.5,123.5,10.35,0.05,114.3,74,7.62,-44.8,24.201,2.53,1.6
5/10/2019,15:30:00,0.0,,113.1,114.9,133.1,133.1,11.15,0.05,114.7,75,7.81,-55.9,24.237,2.52,1.6
5/10/2019,15:35:00,0.0,,113.0,115.0,109.4,109.4,9.18,0.05,114.8,75,7.61,-44.4,24.163,2.53,1.6
5/10/2019,15:40:00,0.0,,113.4,115.3,122.3,122.3,10.26,0.05,115.1,75,7.93,-63.3,24.193,2.52,1.6
5/10/2019,15:45:00,0.0,,113.0,114.9,123.6,123.6,10.36,0.05,114.7,75,7.63,-45.4,24.194,2.53,1.6
5/10/2019,15:50:00,0.0,,112.6,115.0,125.4,125.4,10.55,0.05,114.8,75,7.76,-52.9,24.012,2.51,1.6
5/10/2019,15:55:00,0.0,,112.3,114.4,100.6,100.6,8.44,0.05,114.2,74,7.38,-31.1,24.138,2.53,1.6
5/10/2019,16:00:00,0.0,,112.9,114.6,112.7,112.7,9.43,0.05,114.4,74,7.51,-38.5,24.323,2.52,1.6
5/10/2019,16:05:00,0.0,,112.3,114.6,128.9,128.9,10.84,0.05,114.4,74,7.70,-49.7,24.034,2.53,1.6
5/10/2019,16:10:00,0.0,,112.9,114.5,153.3,153.3,12.81,0.05,114.3,74,8.79,-113.2,24.358,2.52,1.6
5/10/2019,16:15:00,0.0,,113.1,115.2,124.9,124.9,10.48,0.05,115.0,75,7.66,-47.3,24.165,2.53,1.6
5/10/2019,16:20:00,0.0,,113.0,114.9,109.8,109.8,9.21,0.05,114.8,75,8.04,-69.4,24.195,2.52,1.6
5/10/2019,16:25:00,0.0,,113.3,115.1,120.2,120.2,10.06,0.05,114.9,75,7.48,-37.0,24.268,2.53,1.6
5/10/2019,16:30:00,0.0,,113.2,114.8,134.1,134.1,11.22,0.05,114.6,75,8.00,-67.0,24.328,2.52,1.6
5/10/2019,16:35:00,0.0,,113.5,115.7,135.4,135.4,11.37,0.05,115.5,75,7.64,-45.8,24.104,2.53,1.6
5/10/2019,16:40:00,0.0,,113.4,115.4,118.8,118.8,9.96,0.05,115.2,75,7.63,-45.4,24.185,2.52,1.6
5/10/2019,16:45:00,0.0,,113.7,115.5,117.6,117.6,9.85,0.05,115.4,75,7.72,-50.8,24.251,2.53,1.6
5/10/2019,16:50:00,0.0,,113.2,115.0,114.1,114.1,9.56,0.05,114.9,75,7.70,-49.8,24.236,2.52,1.6
5/10/2019,16:55:00,0.0,,112.6,115.0,100.5,100.5,8.45,0.05,114.7,75,7.19,-19.4,24.024,2.53,1.6
5/10/2019,17:00:00,0.0,,111.5,114.3,95.6,95.6,8.07,0.05,114.0,74,7.07,-12.8,23.861,2.52,1.6
