date.time,date,time,fract_sec,site_name,cond,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,TDS,pH,pH_mV,temp,battery,cable_pwr
2019-05-02 10:55:00,5/2/2019,10:55:00,0,NA,112.1,120.2,114.2,114.2,10.02,0.06,119.5,78,7.31,-26.6,21.789,2.63,1.6
2019-05-02 11:00:00,5/2/2019,11:00:00,0,NA,110.9,119.6,115.5,115.5,10.19,0.06,118.9,77,7.29,-25.2,21.505,2.63,1.6
2019-05-02 11:05:00,5/2/2019,11:05:00,0,NA,111.9,119.3,102.5,102.5,8.96,0.06,118.7,77,7.25,-22.9,21.998,2.63,1.6
2019-05-02 11:10:00,5/2/2019,11:10:00,0,NA,111.6,119.6,110.1,110.1,9.66,0.06,118.9,77,7.25,-23.3,21.793,2.63,1.6
2019-05-02 11:15:00,5/2/2019,11:15:00,0,NA,113,120,106.3,106.3,9.26,0.06,119.4,78,7.2,-20.1,22.192,2.63,1.6
2019-05-02 11:20:00,5/2/2019,11:20:00,0,NA,112.8,120.9,109.3,109.3,9.6,0.06,120.2,78,7.22,-21.2,21.746,2.63,1.6
2019-05-02 11:25:00,5/2/2019,11:25:00,0,NA,112,120,105.6,105.6,9.26,0.06,119.3,78,7.27,-24,21.804,2.63,1.6
2019-05-02 11:30:00,5/2/2019,11:30:00,0,NA,112.3,119.9,115.1,115.1,10.07,0.06,119.2,78,7.34,-28.3,21.937,2.63,1.6
2019-05-02 11:35:00,5/2/2019,11:35:00,0,NA,112.4,119.7,120.2,120.2,10.49,0.06,119,77,7.41,-32.1,22.092,2.63,1.6
2019-05-02 11:40:00,5/2/2019,11:40:00,0,NA,112.5,119.8,121.4,121.4,10.59,0.06,119.1,77,7.42,-32.9,22.08,2.63,1.6
2019-05-02 11:45:00,5/2/2019,11:45:00,0,NA,111.8,119.3,122.2,122.2,10.69,0.06,118.6,77,7.44,-33.8,21.971,2.64,1.6
2019-05-02 11:50:00,5/2/2019,11:50:00,0,NA,112,119.4,124.4,124.4,10.86,0.06,118.7,77,7.5,-37.4,22.04,2.63,1.6
2019-05-02 11:55:00,5/2/2019,11:55:00,0,NA,112.1,119.1,126.3,126.3,11.01,0.06,118.5,77,7.57,-41.5,22.179,2.64,1.6
2019-05-02 12:00:00,5/2/2019,12:00:00,0,NA,112,119,128.1,128.1,11.16,0.05,118.4,77,7.64,-46,22.167,2.63,1.6
2019-05-02 12:05:00,5/2/2019,12:05:00,0,NA,112.1,119.4,126.6,126.6,11.05,0.06,118.7,77,7.57,-41.9,22.056,2.64,1.6
2019-05-02 12:10:00,5/2/2019,12:10:00,0,NA,112,119.3,125.7,125.7,10.98,0.06,118.7,77,7.59,-42.6,22.06,2.63,1.6
2019-05-02 12:15:00,5/2/2019,12:15:00,0,NA,113.5,119.7,130.8,130.8,11.33,0.06,119.2,77,7.7,-49.6,22.487,2.64,1.6
2019-05-02 12:20:00,5/2/2019,12:20:00,0,NA,111.6,119.4,124.3,124.3,10.9,0.06,118.7,77,7.58,-42.3,21.834,2.63,1.6
2019-05-02 12:25:00,5/2/2019,12:25:00,0,NA,111.6,119.2,124,124,10.85,0.06,118.5,77,7.54,-39.7,21.954,2.64,1.6
2019-05-02 12:30:00,5/2/2019,12:30:00,0,NA,112.7,119.4,129.3,129.3,11.24,0.06,118.8,77,7.59,-43,22.298,2.63,1.6
2019-05-02 12:35:00,5/2/2019,12:35:00,0,NA,112.5,119.6,127.2,127.2,11.08,0.06,119,77,7.6,-43.5,22.161,2.63,1.6
