date.time,date,time,fract_sec,site_name,chl_RFU,chl_conc,cond,fdom_QSU,fdom_RFU,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,BGA_PC_RFU,BGA_PC_conc,TDS,turb_FNU,TSS,temp,battery,cable_pwr
2019-12-04 13:05:00,12/4/2019,13:05:00,0,<site>,2.07,12.33,10,29.02,9.95,16,83.1,83.9,10.43,0.01,15.8,-0.37,-0.37,10,2.77,0,5.681,5.08,0
2019-12-04 13:10:00,12/4/2019,13:10:00,0,<site>,1.76,10.67,10,29.37,10.08,16.1,83,83.8,10.42,0.01,15.8,-0.36,-0.36,10,2.43,0,5.651,5.12,0
2019-12-04 13:15:00,12/4/2019,13:15:00,0,<site>,1.88,11.3,10,29.29,10.05,16.1,83.3,84.1,10.44,0.01,15.8,-0.35,-0.35,10,2.97,0,5.735,5.11,0
2019-12-04 13:20:00,12/4/2019,13:20:00,0,<site>,1.99,11.94,10,29.42,10.09,16.1,83,83.7,10.43,0.01,15.8,-0.31,-0.31,10,2.66,0,5.602,5.14,0
2019-12-04 13:25:00,12/4/2019,13:25:00,0,<site>,1.75,10.63,10,29.41,10.09,16.1,83.1,83.8,10.44,0.01,15.8,-0.38,-0.38,10,2.57,0,5.632,5.12,0
2019-12-04 13:30:00,12/4/2019,13:30:00,0,<site>,1.94,11.63,9.9,29.45,10.1,16.1,83,83.8,10.44,0.01,15.8,-0.32,-0.32,10,2.52,0,5.578,5.14,0
2019-12-04 13:35:00,12/4/2019,13:35:00,0,<site>,2.11,12.55,9.9,29.4,10.09,16.1,83,83.8,10.45,0.01,15.8,-0.33,-0.33,10,2.56,0,5.58,5.13,0
2019-12-04 13:40:00,12/4/2019,13:40:00,0,<site>,2,11.98,10,29.33,10.06,16.1,83.1,83.9,10.45,0.01,15.8,-0.36,-0.36,10,2.58,0,5.625,5.14,0
2019-12-04 13:45:00,12/4/2019,13:45:00,0,<site>,2.19,13,10,29.28,10.04,16.1,83.5,84.3,10.49,0.01,15.8,-0.33,-0.33,10,2.96,0,5.629,5.13,0
2019-12-04 13:50:00,12/4/2019,13:50:00,0,<site>,2.02,12.07,10,29.33,10.06,16.1,83.7,84.5,10.52,0.01,15.8,-0.35,-0.35,10,2.73,0,5.641,5.15,0
2019-12-04 13:55:00,12/4/2019,13:55:00,0,<site>,2.02,12.07,10,29.3,10.05,16.1,83.7,84.5,10.51,0.01,15.8,-0.33,-0.33,10,2.82,0,5.648,5.13,0
2019-12-04 14:00:00,12/4/2019,14:00:00,0,<site>,2.05,12.27,10,29.36,10.07,16.1,83.8,84.6,10.53,0.01,15.8,-0.32,-0.32,10,2.56,0,5.632,5.16,0
2019-12-04 14:05:00,12/4/2019,14:05:00,0,<site>,2.36,13.93,10,29.4,10.09,16,83.9,84.7,10.55,0.01,15.8,-0.33,-0.33,10,2.63,0,5.623,5.13,0
2019-12-04 14:10:00,12/4/2019,14:10:00,0,<site>,2.43,14.29,9.9,29.36,10.07,16,84,84.8,10.56,0.01,15.8,-0.32,-0.32,10,2.79,0,5.612,5.16,0
2019-12-04 14:15:00,12/4/2019,14:15:00,0,<site>,2.15,12.77,9.9,29.34,10.06,16,84,84.8,10.56,0.01,15.8,-0.35,-0.35,10,2.55,0,5.613,5.13,0
2019-12-04 14:20:00,12/4/2019,14:20:00,0,<site>,2.27,13.43,10,29.34,10.07,16,83.9,84.7,10.55,0.01,15.8,-0.28,-0.28,10,2.66,0,5.618,5.15,0
2019-12-04 14:25:00,12/4/2019,14:25:00,0,<site>,2.25,13.33,10,29.22,10.02,16.1,84,84.8,10.55,0.01,15.8,-0.3,-0.3,10,2.7,0,5.639,5.14,0
2019-12-04 14:30:00,12/4/2019,14:30:00,0,<site>,2.28,13.51,10,29.31,10.05,16.1,84.1,84.9,10.56,0.01,15.8,-0.31,-0.31,10,2.7,0,5.658,5.16,0
2019-12-04 14:35:00,12/4/2019,14:35:00,0,<site>,2.04,12.19,10,29.2,10.02,16.1,84.2,84.9,10.56,0.01,15.8,-0.33,-0.33,10,2.63,0,5.688,5.14,0
2019-12-04 14:40:00,12/4/2019,14:40:00,0,<site>,2.2,13.06,10,29.2,10.01,16.1,84.2,84.9,10.56,0.01,15.8,-0.29,-0.29,10,2.68,0,5.701,5.15,0
2019-12-04 14:45:00,12/4/2019,14:45:00,0,<site>,2.53,14.84,10,29.21,10.02,16,84.2,85,10.56,0.01,15.8,-0.3,-0.3,10,3.13,0,5.72,5.14,0
2019-12-04 14:50:00,12/4/2019,14:50:00,0,<site>,2.01,12.04,10,29.11,9.98,16,84.4,85.2,10.58,0.01,15.8,-0.34,-0.34,10,3.27,0,5.738,5.16,0
2019-12-04 14:55:00,12/4/2019,14:55:00,0,<site>,2.27,13.42,10,29.08,9.97,16,84.5,85.3,10.58,0.01,15.8,-0.28,-0.28,10,2.92,0,5.751,5.14,0
2019-12-04 15:00:00,12/4/2019,15:00:00,0,<site>,2.16,12.82,10,28.96,9.93,16,84.6,85.4,10.6,0.01,15.8,-0.34,-0.34,10,2.93,0,5.766,5.16,0
2019-12-04 15:05:00,12/4/2019,15:05:00,0,<site>,2.41,14.18,10,29.08,9.97,16,84.7,85.5,10.6,0.01,15.8,-0.33,-0.33,10,2.99,0,5.778,5.14,0
2019-12-04 15:10:00,12/4/2019,15:10:00,0,<site>,2.34,13.83,10,29.02,9.95,16,84.8,85.6,10.6,0.01,15.8,-0.3,-0.3,10,2.86,0,5.807,5.16,0
2019-12-04 15:15:00,12/4/2019,15:15:00,0,<site>,2.33,13.77,10,29.04,9.96,16,84.8,85.6,10.61,0.01,15.8,-0.32,-0.32,10,3.08,0,5.797,5.14,0
2019-12-04 15:20:00,12/4/2019,15:20:00,0,<site>,2.76,16.11,10,29.07,9.97,16,84.8,85.6,10.62,0.01,15.8,-0.28,-0.28,10,2.99,0,5.798,5.16,0
2019-12-04 15:25:00,12/4/2019,15:25:00,0,<site>,2.35,13.9,10,29.1,9.98,16,84.9,85.7,10.62,0.01,15.8,-0.29,-0.29,10,3.11,0,5.808,5.14,0
