date.time,date,time,fract_sec,site_name,chl_RFU,chl_conc,cond,nLF_cond,perc_ODO,perc_local_ODO,ODO_conc,sal,sp_cond,BGA_PC_RFU,BGA_PC_conc,TDS,pH,pH_mV,temp,battery,cable_pwr
2019-10-30 13:20:00,10/30/2019,13:20:00,0,NA,6.3,17.89,102,123,111.9,110.8,10.9,0.06,121.4,1.1,1.1,79,7.83,-79.5,16.628,2.52,1.5
2019-10-30 13:25:00,10/30/2019,13:25:00,0,NA,2.93,8.2,101.4,122.6,111,109.9,10.83,0.06,120.9,0.3,0.3,79,7.83,-79.4,16.541,2.52,1.5
2019-10-30 13:30:00,10/30/2019,13:30:00,0,NA,6.51,18.48,102.3,123.7,109.8,108.7,10.71,0.06,122,1.09,1.09,79,7.84,-80,16.548,2.53,1.5
2019-10-30 13:35:00,10/30/2019,13:35:00,0,NA,4.17,11.76,102.7,124.2,110.7,109.6,10.8,0.06,122.5,0.56,0.56,80,7.83,-79.6,16.547,2.52,1.5
2019-10-30 13:40:00,10/30/2019,13:40:00,0,NA,4.7,13.3,102.6,124,111,109.9,10.83,0.06,122.4,0.63,0.63,80,7.86,-81.3,16.536,2.53,1.5
2019-10-30 13:45:00,10/30/2019,13:45:00,0,NA,6.47,18.39,102.5,123.9,112.4,111.3,10.96,0.06,122.3,1.74,1.74,79,7.83,-79.3,16.532,2.52,1.5
2019-10-30 13:50:00,10/30/2019,13:50:00,0,NA,6.66,18.92,102.9,124.4,111.9,110.8,10.91,0.06,122.7,1.11,1.11,80,7.84,-79.8,16.55,2.53,1.5
2019-10-30 13:55:00,10/30/2019,13:55:00,0,NA,2.46,6.84,103.1,124.6,111.5,110.4,10.87,0.06,122.9,0.12,0.12,80,7.91,-83.8,16.568,2.52,1.5
2019-10-30 14:00:00,10/30/2019,14:00:00,0,NA,6.65,18.89,102.8,124.2,112.2,111.1,10.94,0.06,122.5,0.95,0.95,80,7.91,-83.7,16.569,2.53,1.5
2019-10-30 14:05:00,10/30/2019,14:05:00,0,NA,3.81,10.72,102.8,124.1,112.4,111.3,10.96,0.06,122.5,0.43,0.43,80,7.84,-80.2,16.57,2.52,1.5
2019-10-30 14:10:00,10/30/2019,14:10:00,0,NA,1.97,5.43,103.1,124.5,112.4,111.3,10.96,0.06,122.9,0.29,0.29,80,7.88,-82,16.561,2.53,1.5
2019-10-30 14:15:00,10/30/2019,14:15:00,0,NA,6.19,17.57,102.8,124.2,111,109.9,10.83,0.06,122.6,0.85,0.85,80,7.84,-79.8,16.548,2.52,1.5
2019-10-30 14:20:00,10/30/2019,14:20:00,0,NA,4.55,12.88,102.7,124.1,110.4,109.3,10.77,0.06,122.4,0.62,0.62,80,7.86,-81,16.546,2.53,1.5
2019-10-30 14:25:00,10/30/2019,14:25:00,0,NA,5.27,14.94,102.9,124.2,110.7,109.6,10.78,0.06,122.6,0.56,0.56,80,7.81,-78,16.59,2.52,1.5
2019-10-30 14:30:00,10/30/2019,14:30:00,0,NA,3.48,9.79,102.9,124.2,111.6,110.5,10.87,0.06,122.6,0.36,0.36,80,7.81,-78,16.605,2.53,1.5
2019-10-30 14:35:00,10/30/2019,14:35:00,0,NA,2.3,6.39,103,124.4,112.5,111.4,10.96,0.06,122.7,0.09,0.09,80,7.82,-78.8,16.611,2.52,1.5
2019-10-30 14:40:00,10/30/2019,14:40:00,0,NA,1.51,4.13,103.1,124.5,112.3,111.2,10.96,0.06,122.9,0.02,0.02,80,7.87,-81.9,16.559,2.53,1.5
2019-10-30 14:45:00,10/30/2019,14:45:00,0,NA,1.29,3.49,103,124.2,111.2,110.1,10.83,0.06,122.6,0.03,0.03,80,7.89,-82.7,16.628,2.52,1.5
2019-10-30 14:50:00,10/30/2019,14:50:00,0,NA,2.32,6.46,103.5,124.7,111.1,110,10.81,0.06,123.1,0.16,0.16,80,7.84,-80.1,16.657,2.53,1.5
2019-10-30 14:55:00,10/30/2019,14:55:00,0,NA,2.58,7.19,103.7,124.9,112.9,111.8,10.98,0.06,123.3,0.25,0.25,80,7.86,-81.2,16.685,2.52,1.5
2019-10-30 15:00:00,10/30/2019,15:00:00,0,NA,1.44,3.93,103.4,124.4,112.8,111.7,10.96,0.06,122.8,0.01,0.01,80,7.88,-82.3,16.729,2.53,1.5
2019-10-30 15:05:00,10/30/2019,15:05:00,0,NA,2.76,7.72,103.4,124.4,110.1,109.1,10.71,0.06,122.8,0.22,0.22,80,7.81,-78.3,16.713,2.52,1.5
2019-10-30 15:10:00,10/30/2019,15:10:00,0,NA,2.22,6.17,103.2,124.3,111.3,110.2,10.82,0.06,122.6,0.14,0.14,80,7.7,-71.8,16.685,2.53,1.5
2019-10-30 15:15:00,10/30/2019,15:15:00,0,NA,2.45,6.83,103.5,124.9,108.5,107.4,10.56,0.06,123.2,0.19,0.19,80,7.69,-71.3,16.644,2.53,1.5
2019-10-30 15:20:00,10/30/2019,15:20:00,0,NA,2.32,6.44,102.9,124.5,108.5,107.5,10.59,0.06,122.8,0.15,0.15,80,7.81,-78.2,16.527,2.53,1.5
2019-10-30 15:25:00,10/30/2019,15:25:00,0,NA,2.5,6.97,102.8,124.2,109,107.9,10.63,0.06,122.5,0.09,0.09,80,7.8,-77.4,16.581,2.52,1.5
2019-10-30 15:30:00,10/30/2019,15:30:00,0,NA,1.59,4.35,103.7,125.3,109.1,108,10.64,0.06,123.6,0.01,0.01,80,7.78,-76.6,16.548,2.53,1.5
2019-10-30 15:35:00,10/30/2019,15:35:00,0,NA,1.71,4.7,104.2,125.8,109.3,108.2,10.65,0.06,124.2,0.02,0.02,81,7.78,-76.3,16.583,2.52,1.5
2019-10-30 15:40:00,10/30/2019,15:40:00,0,NA,2.38,6.63,102.8,124.3,109.6,108.5,10.7,0.06,122.6,0.11,0.11,80,7.78,-76.6,16.523,2.54,1.5
2019-10-30 15:45:00,10/30/2019,15:45:00,0,NA,1.86,5.13,103,124.6,109,107.9,10.63,0.06,122.9,0.07,0.07,80,7.77,-76.1,16.531,2.53,1.5
2019-10-30 15:50:00,10/30/2019,15:50:00,0,NA,2.37,6.6,103.1,124.6,109,107.9,10.64,0.06,122.9,0.13,0.13,80,7.75,-74.9,16.533,2.54,1.5
2019-10-30 15:55:00,10/30/2019,15:55:00,0,NA,1.96,5.41,103.3,124.8,109.2,108.2,10.65,0.06,123.1,0.06,0.06,80,7.73,-73.7,16.574,2.53,1.5
2019-10-30 16:00:00,10/30/2019,16:00:00,0,NA,2.55,7.11,103.1,124.6,110.2,109.1,10.75,0.06,122.9,0.15,0.15,80,7.75,-74.5,16.54,2.54,1.5
2019-10-30 16:05:00,10/30/2019,16:05:00,0,NA,1.78,4.89,103.4,125.1,110.7,109.6,10.8,0.06,123.4,0.09,0.09,80,7.78,-76.3,16.539,2.53,1.5
2019-10-30 16:10:00,10/30/2019,16:10:00,0,NA,2.4,6.67,103,124.5,111.1,110,10.83,0.06,122.8,0.18,0.18,80,7.78,-76.3,16.548,2.54,1.5
2019-10-30 16:15:00,10/30/2019,16:15:00,0,NA,2.62,7.31,102.8,124.3,111.2,110.1,10.85,0.06,122.6,0.19,0.19,80,7.79,-76.8,16.553,2.53,1.5
2019-10-30 16:20:00,10/30/2019,16:20:00,0,NA,3.08,8.65,103,124.5,111,109.9,10.83,0.06,122.8,0.26,0.26,80,7.79,-77.2,16.542,2.54,1.5
